Painting,Detected_Objects
57727630edc2cb3880d0acaf.jpg,"urban area (count=148, max_conf=1.00); background (count=2, max_conf=1.00)"
577286c8edc2cb3880056432.jpg,"urban area (count=150, max_conf=1.00)"
57727699edc2cb3880d1f809.jpg,"urban area (count=150, max_conf=1.00)"
57727031edc2cb3880bd1598.jpg,"urban area (count=131, max_conf=1.00); background (count=17, max_conf=1.00); flooring (count=2, max_conf=0.83)"
57727435edc2cb3880cb0859.jpg,"urban area (count=149, max_conf=1.00); background (count=1, max_conf=0.99)"
577278cfedc2cb3880d93a9e.jpg,"urban area (count=147, max_conf=1.00); background (count=1, max_conf=1.00); food (count=1, max_conf=1.00); bush (count=1, max_conf=0.75)"
577282b9edc2cb3880f8a894.jpg,"urban area (count=132, max_conf=1.00); background (count=17, max_conf=0.92); flooring (count=1, max_conf=0.98)"
577270a3edc2cb3880bedcbd.jpg,"urban area (count=150, max_conf=1.00)"
577286ceedc2cb3880056f1b.jpg,"urban area (count=144, max_conf=1.00); blanket (count=1, max_conf=0.93); building (count=1, max_conf=1.00); background (count=2, max_conf=1.00); hill (count=1, max_conf=0.67); rail track (count=1, max_conf=1.00)"
57727307edc2cb3880c746c7.jpg,"urban area (count=113, max_conf=1.00); background (count=25, max_conf=1.00); dirt (count=2, max_conf=0.74); sand (count=2, max_conf=0.97); blanket (count=2, max_conf=0.99); cage (count=1, max_conf=0.96); bridge (count=1, max_conf=0.74); blinds (count=2, max_conf=0.70)"
57727e33edc2cb3880ea3ff9.jpg,"urban area (count=145, max_conf=1.00); background (count=4, max_conf=1.00); road (count=1, max_conf=0.86)"
57727c4bedc2cb3880e413b5.jpg,"urban area (count=148, max_conf=1.00); gravel (count=1, max_conf=0.92)"
57727023edc2cb3880bcfefa.jpg,"background (count=31, max_conf=0.96); urban area (count=115, max_conf=1.00); refrigerator (count=1, max_conf=0.71)"
57728496edc2cb3880fe6a67.jpg,"urban area (count=150, max_conf=1.00)"
57727db0edc2cb3880e877dd.jpg,"urban area (count=137, max_conf=1.00); blanket (count=2, max_conf=0.63); background (count=7, max_conf=1.00); sidewalk (count=1, max_conf=0.62); gravel (count=1, max_conf=1.00); branch (count=1, max_conf=0.65); dirt (count=1, max_conf=0.52)"
57727634edc2cb3880d0b22a.jpg,"urban area (count=150, max_conf=1.00)"
577281caedc2cb3880f59ad8.jpg,"urban area (count=147, max_conf=1.00); background (count=2, max_conf=1.00); flooring (count=1, max_conf=0.94)"
57726edcedc2cb3880b89e6c.jpg,"urban area (count=150, max_conf=1.00)"
57727aaaedc2cb3880df2c69.jpg,"urban area (count=126, max_conf=1.00); sidewalk (count=7, max_conf=0.92); background (count=11, max_conf=1.00); blanket (count=4, max_conf=0.99); banner (count=1, max_conf=0.82); cage (count=1, max_conf=0.89)"
